Source,Target,Type
app,live_email,Directed
app,app_resetrequest,Directed
app,app_liveresetrequest,Directed
app,app_root,Directed
app,app_web,Directed
app,app_health,Directed
app,app_tasks,Directed
app,app_reset,Directed
app,app_step,Directed
app,app_state,Directed
app,app_dashboard,Directed
app,app_live_reset,Directed
app,app_live_step,Directed
app,app_live_state,Directed
app,app_live_dashboard,Directed
app,app,Directed
app,app_main,Directed
app_resetrequest,basemodel,Directed
app_resetrequest,live_email_liveemailsession,Directed
basemodel,app_liveresetrequest,Directed
app_liveresetrequest,live_email_liveemailsession,Directed
app_root,app_rationale_40,Directed
app_web,app_rationale_56,Directed
app_reset,app_live_reset,Directed
app_step,app_live_step,Directed
app_state,app_dashboard,Directed
app_state,app_live_state,Directed
app_dashboard,app_live_dashboard,Directed
app_rationale_40,live_email_liveemailsession,Directed
app_rationale_56,live_email_liveemailsession,Directed
send_live_reply,live_email,Directed
send_live_reply,send_live_reply_load_env,Directed
send_live_reply,send_live_reply_main,Directed
send_live_reply_load_env,send_live_reply_main,Directed
live_agent_loop,live_email,Directed
live_agent_loop,live_agent_loop_load_env,Directed
live_agent_loop,live_agent_loop_priority_rank,Directed
live_agent_loop,live_agent_loop_value_rank,Directed
live_agent_loop,live_agent_loop_select_next_email,Directed
live_agent_loop,live_agent_loop_build_action,Directed
live_agent_loop,live_agent_loop_run_loop,Directed
live_agent_loop,live_agent_loop_main,Directed
live_agent_loop_load_env,live_agent_loop_run_loop,Directed
live_agent_loop_priority_rank,live_agent_loop_select_next_email,Directed
live_agent_loop_priority_rank,live_agent_loop_run_loop,Directed
live_agent_loop_value_rank,live_agent_loop_select_next_email,Directed
live_agent_loop_value_rank,live_agent_loop_run_loop,Directed
live_agent_loop_select_next_email,live_agent_loop_run_loop,Directed
live_agent_loop_build_action,live_agent_loop_run_loop,Directed
live_agent_loop_run_loop,live_agent_loop_main,Directed
benchmark_report,benchmark_report_runstats,Directed
benchmark_report,benchmark_report_priority_rank,Directed
benchmark_report,benchmark_report_value_rank,Directed
benchmark_report,benchmark_report_select_next_email,Directed
benchmark_report,benchmark_report_run_simulated_once,Directed
benchmark_report,benchmark_report_run_live_once,Directed
benchmark_report,benchmark_report_summarize,Directed
benchmark_report,benchmark_report_main,Directed
benchmark_report_runstats,benchmark_report_run_simulated_once,Directed
benchmark_report_runstats,benchmark_report_run_live_once,Directed
benchmark_report_priority_rank,benchmark_report_select_next_email,Directed
benchmark_report_value_rank,benchmark_report_select_next_email,Directed
benchmark_report_select_next_email,benchmark_report_run_simulated_once,Directed
benchmark_report_select_next_email,benchmark_report_run_live_once,Directed
benchmark_report_run_simulated_once,benchmark_report_main,Directed
benchmark_report_run_live_once,benchmark_report_main,Directed
benchmark_report_summarize,benchmark_report_main,Directed
models,client,Directed
client,client_emailtriageclient,Directed
client_emailtriageclient,client_emailtriageclient_init,Directed
client_emailtriageclient,client_emailtriageclient_close,Directed
client_emailtriageclient,client_emailtriageclient_health,Directed
client_emailtriageclient,client_emailtriageclient_reset,Directed
client_emailtriageclient,client_emailtriageclient_step,Directed
client_emailtriageclient,client_emailtriageclient_state,Directed
agent_adapter,agent_adapter_priority_rank,Directed
agent_adapter,agent_adapter_extract_json_object,Directed
agent_adapter,agent_adapter_openenvagentadapter,Directed
agent_adapter_priority_rank,agent_adapter_openenvagentadapter_plan_sequence,Directed
agent_adapter_extract_json_object,agent_adapter_openenvagentadapter_decide_with_llm,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_init,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_reset,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_step,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_select_email,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_plan_sequence,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_heuristic_decision,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_decide_with_llm,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_run_episode,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_run_benchmark,Directed
